DEGREE	SINUS	COSINUS
=====	=====	=======
     	0.000000   	1.000000   
     	0.017444   	0.999848   
     	0.034882   	0.999391   
     	0.052309   	0.998631   
     	0.069721   	0.997567   
     	0.087112   	0.996199   
     	0.104476   	0.994527   
     	0.121808   	0.992554   
     	0.139103   	0.990278   
     	0.156356   	0.987701   
     	0.173561   	0.984823   
     	0.190713   	0.981646   
     	0.207808   	0.978170   
     	0.224839   	0.974396   
     	0.241802   	0.970326   
     	0.258691   	0.965960   
     	0.275501   	0.961301   
     	0.292228   	0.956349   
     	0.308866   	0.951106   
     	0.325409   	0.945573   
     	0.341854   	0.939753   
     	0.358194   	0.933647   
     	0.374426   	0.927257   
     	0.390544   	0.920584   
     	0.406543   	0.913632   
     	0.422418   	0.906401   
     	0.438164   	0.898895   
     	0.453778   	0.891115   
     	0.469253   	0.883064   
     	0.484585   	0.874744   
     	0.499770   	0.866158   
     	0.514803   	0.857309   
     	0.529679   	0.848198   
     	0.544394   	0.838830   
     	0.558943   	0.829206   
     	0.573323   	0.819330   
     	0.587528   	0.809204   
     	0.601554   	0.798832   
     	0.615396   	0.788218   
     	0.629052   	0.777363   
     	0.642516   	0.766272   
     	0.655785   	0.754948   
     	0.668854   	0.743393   
     	0.681720   	0.731613   
     	0.694378   	0.719610   
     	0.706825   	0.707388   
     	0.719057   	0.694951   
     	0.731070   	0.682302   
     	0.742861   	0.669446   
     	0.754425   	0.656386   
     	0.765760   	0.643126   
     	0.776862   	0.629671   
     	0.787727   	0.616024   
     	0.798353   	0.602189   
     	0.808736   	0.588172   
     	0.818873   	0.573975   
     	0.828760   	0.559604   
     	0.838396   	0.545062   
     	0.847776   	0.530354   
     	0.856898   	0.515485   
     	0.865760   	0.500460   
     	0.874358   	0.485282   
     	0.882690   	0.469956   
     	0.890753   	0.454487   
     	0.898546   	0.438880   
     	0.906065   	0.423139   
     	0.913308   	0.407270   
     	0.920273   	0.391277   
     	0.926958   	0.375164   
     	0.933361   	0.358938   
     	0.939481   	0.342602   
     	0.945314   	0.326162   
     	0.950859   	0.309623   
     	0.956116   	0.292989   
     	0.961081   	0.276267   
     	0.965754   	0.259460   
     	0.970133   	0.242574   
     	0.974217   	0.225615   
     	0.978004   	0.208587   
     	0.981494   	0.191495   
     	0.984685   	0.174345   
     	0.987576   	0.157142   
     	0.990167   	0.139892   
     	0.992456   	0.122598   
     	0.994444   	0.105268   
     	0.996129   	0.087905   
     	0.997511   	0.070516   
     	0.998589   	0.053105   
     	0.999363   	0.035678   
     	0.999834   	0.018240   
     	1.000000   	0.000796   
     	0.999861   	-0.016647   
     	0.999419   	-0.034086   
     	0.998672   	-0.051514   
     	0.997622   	-0.068927   
     	0.996268   	-0.086318   
     	0.994610   	-0.103684   
     	0.992650   	-0.121017   
     	0.990388   	-0.138314   
     	0.987825   	-0.155569   
     	0.984961   	-0.172777   
     	0.981797   	-0.189932   
     	0.978335   	-0.207029   
     	0.974575   	-0.224063   
     	0.970518   	-0.241029   
     	0.966166   	-0.257922   
     	0.961520   	-0.274736   
     	0.956581   	-0.291466   
     	0.951351   	-0.308108   
     	0.945832   	-0.324656   
     	0.940025   	-0.341105   
     	0.933932   	-0.357451   
     	0.927555   	-0.373688   
     	0.920895   	-0.389811   
     	0.913955   	-0.405815   
     	0.906737   	-0.421696   
     	0.899244   	-0.437448   
     	0.891476   	-0.453068   
     	0.883437   	-0.468549   
     	0.875130   	-0.483888   
     	0.866556   	-0.499080   
     	0.857718   	-0.514120   
     	0.848620   	-0.529004   
     	0.839263   	-0.543726   
     	0.829651   	-0.558283   
     	0.819786   	-0.572670   
     	0.809672   	-0.586883   
     	0.799311   	-0.600917   
     	0.788708   	-0.614769   
     	0.777864   	-0.628433   
     	0.766783   	-0.641906   
     	0.755470   	-0.655184   
     	0.743926   	-0.668262   
     	0.732156   	-0.681137   
     	0.720163   	-0.693805   
     	0.707951   	-0.706262   
     	0.695523   	-0.718503   
     	0.682884   	-0.730526   
     	0.670038   	-0.742327   
     	0.656987   	-0.753902   
     	0.643736   	-0.765248   
     	0.630289   	-0.776360   
     	0.616651   	-0.787237   
     	0.602825   	-0.797873   
     	0.588816   	-0.808267   
     	0.574627   	-0.818415   
     	0.560263   	-0.828315   
     	0.545729   	-0.837961   
     	0.531029   	-0.847353   
     	0.516168   	-0.856488   
     	0.501149   	-0.865361   
     	0.485978   	-0.873971   
     	0.470659   	-0.882315   
     	0.455196   	-0.890391   
     	0.439595   	-0.898196   
     	0.423861   	-0.905727   
     	0.407997   	-0.912983   
     	0.392009   	-0.919961   
     	0.375902   	-0.926659   
     	0.359681   	-0.933075   
     	0.343350   	-0.939207   
     	0.326915   	-0.945054   
     	0.310380   	-0.950613   
     	0.293751   	-0.955882   
     	0.277032   	-0.960861   
     	0.260229   	-0.965547   
     	0.243347   	-0.969939   
     	0.226391   	-0.974037   
     	0.209365   	-0.977837   
     	0.192277   	-0.981341   
     	0.175129   	-0.984545   
     	0.157929   	-0.987451   
     	0.140680   	-0.990055   
     	0.123389   	-0.992358   
     	0.106059   	-0.994360   
     	0.088698   	-0.996059   
     	0.071310   	-0.997454   
     	0.053900   	-0.998546   
     	0.036473   	-0.999335   
     	0.019036   	-0.999819   
     	0.001593   	-0.999999   
     	-0.015851   	-0.999874   
     	-0.033290   	-0.999446   
     	-0.050719   	-0.998713   
     	-0.068132   	-0.997676   
     	-0.085525   	-0.996336   
     	-0.102892   	-0.994693   
     	-0.120227   	-0.992746   
     	-0.137526   	-0.990498   
     	-0.154783   	-0.987949   
     	-0.171992   	-0.985098   
     	-0.189150   	-0.981948   
     	-0.206250   	-0.978499   
     	-0.223287   	-0.974753   
     	-0.240256   	-0.970710   
     	-0.257152   	-0.966371   
     	-0.273970   	-0.961738   
     	-0.290704   	-0.956813   
